MSOA11CD,MSOA11NM_x,LAD11CD_x,LAD11NM_x,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN_x,HHOLDS,AVHHOLDSZ,geometry,area_km2_x,MSOA11NM_y,LAD11CD_y,LAD11NM_y,POPDEN_y,area_km2_y,accident_index,length,accident_population_density,bike_length_per_km2,cluster
E02000001,City of London 001,E09000001,City of London,E12000007,London,7375,7187,188,25.5,4385,1.6,"MULTIPOLYGON (((-11592.959451404064 6711723.628929479, -11625.81552487213 6711721.172184363, -11658.439225455733 6711731.74829935, -11592.959451404064 6711723.628929479)), ((-10774.137638297752 6714377.670179807, -10739.049181020608 6714301.045969957, -10586.13406330335 6714342.503700318, -10526.305962255583 6714162.539803662, -10501.713966500676 6714057.667659258, -10326.346475925578 6714044.5084733395, -10300.15937968993 6714051.892344644, -10286.060719798548 6713978.404687128, -10083.919147743693 6713942.548140711, -9984.757436223597 6713919.299434021, -10012.68598635181 6713793.188781466, -9810.490860744803 6713690.890963797, -9594.315348485756 6713570.208156179, -9486.467149151182 6713856.0408551125, -9275.858797974635 6713763.159166195, -9083.622426896176 6713967.841639053, -9067.373683181686 6714014.303440698, -9022.485650930672 6714145.710450575, -8735.42222088082 6714066.414556301, -8842.078087593016 6713589.601562093, -8695.478653533346 6713611.089825645, -8671.285221292708 6713472.123010005, -8612.898870202074 6713330.47217842, -8451.178216222155 6713061.944561756, -8440.689647899026 6713050.148636217, -8234.219314268275 6712803.990745406, -8176.077522717776 6712642.073981669, -8147.622334147846 6712467.293794836, -8100.145171246806 6712151.463630774, -8096.025285266741 6712041.102322365, -8152.029513200497 6712007.930385002, -8408.169340019316 6711960.14425691, -8479.4881868496 6712092.81226055, -8561.740060782013 6712091.158030588, -8554.999471133953 6712035.011607228, -8671.961184206566 6712006.25024306, -8776.956254570543 6711902.180060532, -8805.572370558322 6711835.505819182, -8757.40017723433 6711791.314918275, -8824.652533502847 6711619.48882999, -8840.028804343274 6711621.987483002, -8845.666826760209 6711612.694803982, -9075.98679281024 6711719.48129521, -9587.902863968502 6711767.17452903, -10025.432965110422 6711826.890743384, -10294.02646310585 6711918.200647855, -10611.269688114122 6712031.506441109, -10602.073553293982 6712107.667178355, -10703.315322546618 6712045.327568927, -11023.392524724095 6712136.341804884, -11649.368910434447 6712148.116324772, -12420.356758874223 6712142.529620648, -12412.5125606054 6712303.259788985, -12524.673598899615 6712480.180801733, -12436.852999858882 6712573.061503626, -12459.637523856023 6712661.79566694, -12362.726417038923 6712692.007820935, -12418.040307941747 6712941.718465399, -12672.767911117315 6713459.453306182, -12364.864048741918 6713462.450576931, -12319.97429350873 6713455.415306379, -12179.089032398082 6713421.504256705, -11961.729388190162 6713407.872596711, -11781.136428783495 6713505.721861898, -11727.045335552933 6713535.578498181, -11608.570430509259 6713591.067818303, -11334.60358334446 6713726.776472585, -10967.674504677665 6713892.581664191, -10869.894820180434 6713919.493841223, -10830.124237820499 6714078.452009464, -10852.763847527767 6714184.831465905, -10878.123810090106 6714318.386223458, -10774.137638297752 6714377.670179807)))",2.9053993090657024,City of London 001,E09000001,City of London,25.5,2.9053993090657024,174.0,20.738740229890897,6.823529411764706,7.137999986845152,2.0
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,6775,6724,51,31.3,2713,2.5,"POLYGON ((16484.762171699847 6727544.3488147585, 16482.04105296342 6727475.53803182, 16677.442356609565 6727584.09799078, 16812.39978388001 6727323.253253836, 16797.84378468806 6727114.720755471, 16765.214962361617 6726682.897665566, 16825.64408189972 6726292.710541961, 16818.52256277194 6725805.566978379, 15759.59848043593 6725676.255865952, 15782.34601136084 6725488.878907137, 15742.938176854774 6725016.7004205445, 15730.355805331523 6724806.0276778005, 15709.257001071328 6724633.817353805, 15692.919917373672 6724520.082755325, 15530.790403037172 6724464.146702779, 15549.62264389155 6724349.2114394205, 15612.919858087178 6724353.138529577, 15604.637810705424 6724237.272011348, 15347.801071819717 6724201.130659057, 15152.939314118394 6724172.148218528, 15106.000219018173 6724498.925612885, 15050.523702040478 6724491.134449182, 15043.345045486189 6724280.609298788, 15064.675074521234 6724212.919029852, 14906.690597792409 6724203.911114954, 14650.90804255578 6724023.871618456, 14612.954487669595 6724160.754419007, 14550.277566006866 6724371.435155608, 14609.037041388987 6724443.772989802, 14853.967167943287 6724527.555073346, 14796.313910272956 6724700.384159287, 14756.971633148993 6724772.833362723, 14687.95964902372 6724779.352565895, 14208.726474366995 6724830.760962252, 14209.961034062046 6724843.454996036, 14243.477754060204 6725002.690111121, 14253.020804530917 6725121.567049802, 14213.38004659723 6725240.154033871, 14168.433989479534 6725241.768375469, 14100.758891394744 6725627.12211354, 14070.564750011163 6725738.531419549, 14244.544831208243 6725782.958744846, 14584.339005403988 6725882.25504439, 14419.062967397565 6726339.393919196, 14824.765213259725 6726646.849961683, 15003.039860684614 6726786.8589817695, 15796.155995885823 6727507.981490321, 16315.234317939841 6728022.693001722, 16490.436856304354 6727950.400106802, 16427.219817711473 6727548.487269833, 16484.762171699847 6727544.3488147585))",2.165633767752433,Barking and Dagenham 001,E09000002,Barking and Dagenham,31.3,2.165633767752433,12.0,3.9165441274471986,0.38338658146964855,1.8084979029080799,0.0
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,10045,10033,12,46.9,3834,2.6,"POLYGON ((16767.62684959662 6725085.82126478, 16517.781308489994 6724672.034527824, 16413.86045286231 6724679.198941311, 16362.115712593757 6723763.227639906, 16487.63856714781 6723753.213403034, 16479.11924238059 6723357.293636257, 16464.792378545353 6723305.925171154, 16582.029678917446 6723325.1723126825, 16618.899616615076 6722795.087813554, 16670.35365790817 6722691.962554823, 16488.14039627706 6722664.932002385, 16324.241556687863 6722641.426667294, 16337.49027669509 6722588.413245859, 16337.11907450584 6722525.765789825, 16397.793580305646 6722508.460313405, 16558.52111714341 6722499.2649781555, 16617.727049868085 6722416.550937989, 16684.351436919307 6722400.607834232, 16612.975426339 6722277.820119709, 16517.22919019363 6722278.407498371, 16534.283875925532 6722198.897842371, 16446.534925647047 6722117.689736176, 16372.488022555419 6722099.294813736, 16349.58628773669 6722152.02403647, 16253.206065554532 6722128.049642467, 16271.259215192378 6722020.898333584, 16320.978325775855 6721803.303619269, 16183.504812860294 6721796.641234347, 16117.445670589226 6721953.926349072, 15851.078606644192 6722064.23748125, 15961.08406469121 6722301.91273589, 15575.778224218946 6722352.564351053, 15410.148298886297 6722342.256584198, 15242.660078465939 6722218.974062956, 15092.475036483838 6722146.094796446, 14634.974697462716 6722130.210222177, 14438.575094477505 6722125.620005986, 14400.551215418804 6722124.731713936, 14442.114465650762 6722372.965866679, 14435.537785549546 6722406.239437273, 14441.893758650824 6722549.492339766, 14477.368097713459 6722631.074319318, 14523.278995874949 6722833.787106957, 14474.347449758481 6722881.716187285, 14454.827707728466 6723032.325488948, 14559.243031325695 6723055.721952154, 14645.127229900778 6723074.9347999925, 14572.656605763232 6723362.367692174, 14464.925929943129 6723293.62160071, 14406.81138124973 6723459.282161882, 14401.970674717428 6723627.4557006, 14402.195476561927 6723716.3262182595, 14386.28699312536 6723873.512310423, 14475.292360886528 6723916.366651343, 14650.908043214193 6724023.87161912, 14906.690597649027 6724203.911114993, 15064.675074277744 6724212.919030263, 15043.345046587954 6724280.609298039, 15050.523702151462 6724491.134450771, 15106.000218954303 6724498.925611772, 15152.939314799585 6724172.148219412, 15347.8010727671 6724201.130659299, 15604.637811168579 6724237.272011057, 15612.919858656693 6724353.138528237, 15549.622644732917 6724349.211439407, 15530.79040249172 6724464.146704405, 15692.919916449104 6724520.082754238, 15709.257000663247 6724633.817353437, 15730.355806871488 6724806.027678144, 15742.938176761336 6725016.700421434, 15782.346012618846 6725488.878906879, 15759.598481220362 6725676.255865315, 16818.522561466125 6725805.56697754, 16811.972059052885 6725593.0056505995, 16767.62684959662 6725085.82126478))",2.1435650003049322,Barking and Dagenham 002,E09000002,Barking and Dagenham,46.9,2.1435650003049322,34.0,7.752319399608473,0.7249466950959489,3.6165543841710743,1.0
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,6182,5937,245,24.8,2318,2.6,"POLYGON ((20603.006714312258 6721814.790722728, 20482.6250031136 6721655.803001374, 20418.37415169614 6721453.68288838, 20338.666237024187 6721182.143149076, 20543.761860115184 6720991.3144885935, 20562.90269260127 6720846.001911661, 20527.544544051023 6720538.765717113, 20596.158309273862 6720385.886523816, 20565.349676781272 6720315.334392232, 20669.56006493516 6720307.299797747, 20857.699359371014 6720122.542882309, 20915.056501618776 6719895.364631599, 21170.73615363282 6719644.982243474, 21103.33974755404 6719431.957670709, 20870.36314140627 6719201.373133678, 20704.888150161165 6718723.807953776, 19949.92299211919 6718513.113306594, 19948.993828129296 6718836.373126947, 18802.445174293913 6718771.393796382, 18703.696796945846 6718684.041906673, 18566.525788214978 6718899.899796412, 18431.02789415023 6719132.423450148, 18355.03120525936 6719080.515006775, 18422.16508299826 6719271.036003419, 18891.954499527517 6719276.343222464, 18697.689622267695 6719510.270845998, 18486.321233491868 6719605.041937677, 18442.203098334936 6719672.270937626, 18323.769317572263 6719638.727809373, 18264.852361093417 6719618.422516261, 18220.940205396102 6719663.527911688, 18245.793159386514 6719719.571770626, 18174.550924213378 6719753.356826789, 18214.31936132096 6719793.312938791, 18158.97757309015 6719845.4508192595, 18191.089875263053 6719891.507927011, 18282.18411746352 6719850.306674711, 18286.13772150461 6720049.478551299, 18331.309408109584 6720107.625193349, 18543.340176606802 6720089.8742292, 18541.916118275814 6720282.706778087, 18588.58466921215 6720280.222314263, 18625.73030009177 6720110.688822223, 18681.754379452763 6720367.035671209, 18738.057724283004 6720447.481966745, 18774.391263591886 6720853.947700505, 18760.648658773353 6721231.985521579, 18758.748855096987 6721316.972531793, 18737.28687465352 6721587.707542897, 18913.566375767194 6721694.002347096, 18944.00553018568 6721711.909164761, 19302.44798837388 6721868.382116905, 19685.442459466754 6721814.239902913, 19928.39878071464 6721832.8315093275, 20410.411364798703 6721789.424846789, 20609.379809633876 6721944.269535651, 20603.006714312258 6721814.790722728))",2.490215447793915,Barking and Dagenham 003,E09000002,Barking and Dagenham,24.8,2.490215447793915,3.0,2.977456094371847,0.12096774193548386,1.1956620448281208,0.0
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,8562,8562,0,72.1,3183,2.7,"POLYGON ((16684.3514358624 6722400.607835192, 16782.004150521418 6722348.660974895, 16861.59800001549 6722383.321182525, 17186.212985059014 6722041.787232712, 16745.59964273642 6721958.873440989, 16725.227153170476 6721657.169455667, 16708.959070345652 6721304.785425682, 16695.846013125913 6721202.892616165, 16461.04467368996 6721149.52197246, 16427.28082079059 6720690.909123655, 16359.768762627806 6720450.669282047, 16399.646337037288 6720429.51041428, 16455.551209387726 6720480.338690331, 16508.637371029003 6720370.598713781, 16586.559230463237 6720439.589988792, 16716.930979160574 6720424.393129464, 16709.828575901225 6720345.996320658, 16705.3124879927 6720144.075411147, 16582.392252200076 6720159.837796606, 16496.903503403904 6719996.699961487, 16374.353447241447 6720023.1757894475, 16347.838563325158 6720001.497673804, 16173.111532094848 6719752.27916426, 16105.770458441824 6719780.288296328, 16029.975306206434 6719707.778910351, 15954.032859444142 6719721.650946318, 15926.761798793897 6719788.086973031, 16006.919519188024 6719820.2178561175, 15984.038638401753 6719955.634762401, 15967.972458514922 6719978.005032198, 16141.957778045964 6720170.689511578, 16165.904826255208 6720205.485957919, 15876.81293267718 6720195.626644256, 15849.329458976967 6720194.688597717, 15624.21539729338 6720188.502135836, 15622.921481993459 6720280.278231369, 15538.768468881517 6720388.257703175, 15214.058831426424 6720459.769338657, 15081.707398490134 6720507.565115298, 15142.566778016786 6720657.888219479, 15115.859758647402 6720780.905873664, 14966.036099911185 6720854.26642108, 15006.99910177949 6720994.960558355, 14952.990675216637 6721041.909791598, 14985.289227525416 6721096.9273048965, 15150.085851706692 6721177.644672075, 15160.059026642386 6721193.938421262, 15185.579869699422 6721453.206595963, 15180.164550367119 6721519.9203911275, 15216.779192865773 6721522.973481469, 15313.660692763488 6721530.505203732, 15242.660079300804 6722218.974062731, 15410.148297905758 6722342.256585856, 15575.778224063431 6722352.564351591, 15961.08406425921 6722301.912736237, 15851.07860590571 6722064.237481166, 16117.445670855346 6721953.926347744, 16183.504811883367 6721796.64123498, 16320.978325657345 6721803.303617871, 16271.25921515394 6722020.898332839, 16253.206065443524 6722128.049643287, 16349.586287268801 6722152.024037031, 16372.488022080406 6722099.294814194, 16446.534926411576 6722117.689736684, 16534.283875512367 6722198.897841705, 16517.229189607297 6722278.407498114, 16612.975425943005 6722277.8201206075, 16684.3514358624 6722400.607835192))",1.1861799277487932,Barking and Dagenham 004,E09000002,Barking and Dagenham,72.1,1.1861799277487932,19.0,3.0523475095301773,0.2635228848821082,2.5732584392345217,0.0
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,8791,8672,119,50.6,3441,2.5,"POLYGON ((17813.10260897153 6721440.621468803, 18017.360539391597 6721241.94871133, 18507.905854348104 6721529.40599394, 18737.286875011752 6721587.7075424455, 18758.748854941237 6721316.9725327715, 18760.648659390055 6721231.985521282, 18774.39126353592 6720853.947700001, 18738.057725131417 6720447.481967879, 18681.754378552414 6720367.035670983, 18625.730300627078 6720110.688822486, 18588.5846683116 6720280.222313266, 18541.91611734948 6720282.7067782385, 18543.340176657042 6720089.874228593, 18331.309408412668 6720107.625193274, 18286.13772080873 6720049.478551816, 18282.184118534366 6719850.306675175, 18191.089876107537 6719891.507925983, 18158.977573194123 6719845.450818519, 18214.319360963476 6719793.3129392, 18174.550925326002 6719753.356827071, 18245.793158888133 6719719.57177103, 18220.940205398238 6719663.52791132, 17976.057994203882 6719592.952175591, 17877.453377702965 6719656.392478358, 17883.44029268994 6719514.290031351, 17903.080594184354 6719442.205672378, 17404.720174775255 6719347.529626569, 16985.25978135323 6719404.505595725, 16894.916242796775 6719400.2017410025, 16662.444096764397 6719393.997936062, 16600.222406987745 6719459.277275457, 16474.74338371831 6719446.435953567, 16442.763979282052 6719535.274222814, 16475.935963751555 6719629.389994268, 16586.69532347137 6719615.419706138, 16675.10067663893 6719669.489071131, 16513.483656100925 6719844.543523121, 16536.57102250398 6719950.540622072, 16496.90350263792 6719996.699962052, 16582.392251932182 6720159.837796402, 16705.312488176773 6720144.075411705, 16709.82857675534 6720345.996320649, 16716.930979188848 6720424.393129572, 16586.559231443745 6720439.589988246, 16508.63737146526 6720370.598713281, 16455.55120954784 6720480.338690121, 16399.646336924623 6720429.510414233, 16359.768761416812 6720450.669281536, 16427.28082145902 6720690.909123782, 16461.04467329789 6721149.521972518, 16695.84601287571 6721202.892616304, 16708.959070940928 6721304.785426139, 16725.227153655655 6721657.169455425, 16745.59964258476 6721958.873441359, 17186.212984969006 6722041.787232577, 17387.55682382993 6721865.662600156, 17813.10260897153 6721440.621468803))",1.7339157556851612,Barking and Dagenham 006,E09000002,Barking and Dagenham,50.6,1.7339157556851612,20.0,7.317138167311537,0.3952569169960474,4.220007888687851,1.0
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,11569,11564,5,81.5,4591,2.5,"POLYGON ((15142.56677766454 6720657.888219263, 15081.707399202272 6720507.565115739, 15214.058831767014 6720459.769339356, 15538.768468197462 6720388.257703561, 15622.921481937894 6720280.278232504, 15624.215397471991 6720188.50213541, 15849.329458676259 6720194.688598023, 15876.812932499655 6720195.626643671, 16165.90482625819 6720205.48595723, 16141.957778345884 6720170.689512495, 15967.972457748916 6719978.00503224, 15984.038639205566 6719955.634761747, 16006.919518835011 6719820.2178566465, 15926.7617988652 6719788.086972541, 15954.032859110208 6719721.650946796, 16029.975306126344 6719707.778909904, 16105.770458279952 6719780.288296282, 16173.111532370403 6719752.279164531, 16347.8385634796 6720001.497673736, 16374.353447485497 6720023.175789497, 16496.903503723042 6719996.699961591, 16536.571022687232 6719950.540621729, 16513.483656916123 6719844.543523621, 16675.10067641792 6719669.489070069, 16586.69532258927 6719615.419706924, 16475.93596484098 6719629.389994981, 16442.76398005575 6719535.274223101, 16474.74338433817 6719446.435952728, 16600.222406604025 6719459.277275655, 16662.444096586292 6719393.997935866, 16410.038732997597 6719371.127197094, 16152.751594187694 6719359.61016055, 15893.224073887157 6719337.282258592, 15906.190577023632 6719067.731224559, 15930.590252445585 6718921.038266888, 15847.008129539354 6718996.272673939, 15632.014056401307 6719013.469735024, 15603.38402515918 6718980.812045072, 15682.450541643182 6718922.812467074, 15641.181497999112 6718816.13483368, 15443.49082651276 6718810.429539764, 15324.682890896851 6718772.327418355, 15270.711295677815 6718808.509992607, 15223.48331803227 6718698.909129051, 15110.063702830643 6718683.811353639, 14926.743474161402 6718908.878039782, 14854.886977298427 6718741.74675161, 14855.652167925471 6718351.610912327, 14569.060182887722 6718280.855401263, 14483.476803479873 6718648.988135392, 14349.05193987678 6718622.114008268, 14309.228720917883 6718654.69887907, 14008.999144469839 6718603.363948789, 13965.464409749518 6718631.082613675, 13994.722127226838 6718672.259755586, 14231.260005618758 6719006.962772826, 14321.725294247173 6719133.097653679, 14504.262581559 6719391.24789249, 14514.129124307019 6719405.2059591925, 14502.75057118522 6719481.359662298, 14339.619966284861 6719462.600903586, 14194.013211405374 6719455.226854695, 13845.37954582601 6719398.261616556, 13837.419355850225 6719422.68577786, 13930.78173914985 6719745.240836886, 14140.576511977904 6720141.3483488, 14153.460287502277 6720168.851028571, 14213.252296799008 6720373.329638423, 14133.540037875868 6720574.607550491, 14299.579727877182 6720609.901968357, 14353.811457694093 6720538.314537441, 14313.119610436093 6720495.279567444, 14230.004860646368 6720528.864154522, 14245.356360010648 6720432.698543338, 14414.843843912473 6720421.677055986, 14409.292605135963 6720629.604203699, 14466.282678213856 6720633.149056284, 14462.834810306724 6720723.266586313, 14488.93726456552 6720674.295534864, 14592.843604629124 6720673.5885891, 14596.79414003367 6720741.596709814, 14604.8016846842 6720744.690995643, 14787.004826806551 6720770.15030141, 14756.705861735401 6720868.102542238, 14952.990674875671 6721041.909791628, 15006.999102883867 6720994.960559226, 14966.036100935531 6720854.266421137, 15115.859759232422 6720780.905873583, 15142.56677766454 6720657.888219263))",1.4193088139975303,Barking and Dagenham 007,E09000002,Barking and Dagenham,81.5,1.4193088139975303,24.0,4.258767681560096,0.294478527607362,3.000592710733005,0.0
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,8395,8376,19,87.4,3212,2.6,"POLYGON ((13019.595272768463 6720353.085605544, 12936.12497767203 6720219.076335728, 13048.945645736012 6720221.297538141, 13081.363661834792 6720106.851299928, 13278.684191405371 6720315.480297461, 13404.271579810435 6720213.964189165, 13467.22061432825 6720175.91690201, 13470.274079845434 6720099.940825136, 13592.212675549896 6720198.248734993, 13658.241690073693 6720134.437866286, 13722.732492389518 6720169.767943607, 13751.218332871513 6720101.863290802, 13879.752936772624 6720037.64180202, 13932.122097402733 6719994.879750591, 13935.479562109425 6719884.556121258, 13809.11612653511 6719819.131814999, 13792.71216884311 6719699.313987583, 13691.236727288411 6719760.422383864, 13602.22829969851 6719668.598144154, 13619.77234547217 6719561.219869347, 13707.403611884814 6719619.102783686, 13655.743319968942 6719563.331928914, 13725.34037853571 6719502.990807083, 13699.215816911585 6719455.113365321, 13794.46442332186 6719435.280154093, 13813.04316989975 6719470.267184195, 13837.419356460709 6719422.685778414, 13845.379546177192 6719398.2616167385, 14194.013210820196 6719455.226854113, 14339.619966321448 6719462.600903969, 14502.750570857648 6719481.359661135, 14514.129124858187 6719405.205958967, 14504.262581766945 6719391.247892334, 14321.725295105669 6719133.097653429, 14231.260005150118 6719006.962773191, 13994.722128245097 6718672.259754951, 13885.450210655286 6718535.947196497, 13854.990269126014 6718627.97583909, 13731.904734663485 6718655.379272619, 13762.082163631572 6718770.655069472, 13606.042755968192 6718811.453665417, 13572.061949232208 6718698.391356576, 13261.06669175781 6718785.0010109795, 12912.100667857709 6718882.269846203, 12898.864496977745 6718885.910436696, 12640.95511518685 6718966.650291118, 12262.933739994747 6719062.011116291, 11901.739436387932 6719084.056817016, 11820.074659228352 6719336.449026041, 11901.701405458884 6719440.277048099, 11955.177530046354 6719508.3313287385, 12057.072986451656 6719563.082534391, 12069.505901099034 6719645.043611852, 12452.013943418826 6719632.1913298005, 12623.660664202425 6719934.043256601, 12772.91961358151 6720114.637190719, 12548.469248318774 6720332.321440227, 12597.24376851391 6720398.446196552, 12617.393105034362 6720475.380222635, 12936.009722860406 6720417.782282676, 13019.595272768463 6720353.085605544))",0.9656219516570423,Barking and Dagenham 008,E09000002,Barking and Dagenham,87.4,0.9656219516570423,20.0,2.7156754781446204,0.22883295194508008,2.8123588879523944,0.0
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,8615,8615,0,76.8,3292,2.6,"POLYGON ((17416.427243754075 6718934.806426418, 17443.674084552244 6718869.203531096, 17502.33870608633 6718862.084016647, 17509.430674028936 6718762.039982345, 17647.043149347814 6718766.496323729, 17673.673997417067 6718522.379965581, 17778.420594570325 6718326.036764314, 17852.579575566426 6718177.8341679005, 17978.034633729956 6718069.73981553, 17979.441654819526 6717967.687500602, 17883.049668233038 6717937.614390593, 17578.994076804276 6717851.107858676, 17499.064877996672 6717829.472239245, 17282.6752059893 6717778.805390913, 17203.127364857737 6717760.262339665, 16885.63522556204 6717708.208591233, 16773.590977089196 6717694.381505161, 16679.59921860215 6717683.706907097, 16730.37699864635 6717896.047466881, 16876.39840046363 6717917.531734981, 16855.77807643328 6718088.273970934, 16911.89237081517 6718101.873780762, 16900.069979080505 6718180.293708196, 16956.975782426784 6718207.708558722, 16929.3696114988 6718415.5083108395, 17005.02338657109 6718428.039009196, 16929.978488738194 6718509.837529058, 16847.578169575117 6718506.031825562, 16783.352296204022 6718363.926374403, 16828.85234527925 6718231.937276707, 16740.830130441722 6718198.982248175, 16711.674499131695 6718197.134116321, 16713.72141029025 6718122.71597386, 16649.287871352564 6718092.63699693, 16466.773431040303 6718134.916283, 16543.612100382783 6718228.550779322, 16484.460780533565 6718290.725888032, 16530.68814997579 6718373.8925038325, 16467.056955577984 6718433.847076027, 16456.149756491042 6718435.633081308, 16369.953156482097 6718426.831476556, 16302.141126393104 6718530.942971655, 16253.719342512743 6718476.871371685, 16095.778064425573 6718514.842770134, 15913.036994605387 6718560.223539646, 15796.470537773204 6718357.833303876, 15840.261013755964 6718328.301701347, 15814.57582182876 6718284.829093277, 15757.181535905316 6718187.628769333, 15426.145072254369 6718390.580619377, 15222.446999235015 6718132.558297371, 14681.519821422056 6718050.321257625, 14607.413462639086 6718149.121419347, 14569.060183519767 6718280.85540172, 14855.652167515498 6718351.610911524, 14854.886976896081 6718741.746750355, 14926.743474332732 6718908.878038811, 15110.06370205042 6718683.81135399, 15223.483318315471 6718698.909129567, 15270.711295012237 6718808.509993367, 15324.682891173503 6718772.327418904, 15443.490826460387 6718810.429540666, 15641.18149672892 6718816.134832893, 15682.450542271972 6718922.812466507, 15603.38402516631 6718980.812044713, 15632.014057696926 6719013.469734733, 15847.008129880089 6718996.272674231, 15930.590251639684 6718921.038266061, 15906.19057655583 6719067.7312250165, 15893.22407331162 6719337.2822600175, 16152.75159473055 6719359.61015993, 16410.038733619447 6719371.127196359, 16662.444096430576 6719393.997935598, 16894.916243655254 6719400.2017414635, 16985.25978047682 6719404.505595532, 17404.720174806916 6719347.529625846, 17416.427243754075 6718934.806426418))",1.1203260156619859,Barking and Dagenham 009,E09000002,Barking and Dagenham,76.8,1.1203260156619859,8.0,2.70184904531545,0.10416666666666667,2.411663219048754,0.0
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,6187,6086,101,38.8,2289,2.7,"POLYGON ((18442.203098350594 6719672.270937833, 18486.32123262679 6719605.041939231, 18697.689623433547 6719510.270846549, 18891.95449981106 6719276.343223349, 18422.165082870444 6719271.036002425, 18355.031204505514 6719080.515006936, 18431.027895084277 6719132.423451394, 18566.525788328912 6718899.899797038, 18703.696795633867 6718684.041906002, 18802.445172846335 6718771.393796286, 19948.99382861419 6718836.373127635, 19949.922993128665 6718513.113306855, 20704.88815020135 6718723.807953592, 20296.077537282872 6718387.30583551, 20087.988755290342 6718111.677574111, 19997.773143520142 6717848.0509070745, 19982.078166537038 6717546.143254528, 19913.02722780441 6717398.201536699, 19424.808303650443 6717042.302793629, 19304.36195280713 6717130.537654407, 19111.321717733645 6717179.676510254, 18922.33643667457 6717208.924096999, 18864.21137039382 6717163.6215712475, 18735.39510948227 6717084.681617701, 18744.425768389327 6717152.95798757, 18661.94659388778 6717207.102836275, 18689.742781423894 6717295.570997022, 18785.771934365643 6717327.857614349, 18810.80621554638 6717537.991430351, 18415.442150173385 6717631.826344436, 18415.157232326317 6717622.177294785, 18406.43522144509 6717482.558112162, 18172.633461978872 6717492.558767066, 18170.67899016732 6717548.753456439, 17986.88306412239 6717570.525542775, 18067.246555781734 6717629.03598644, 17975.06888511335 6717729.568097888, 17947.986208993116 6717767.507329569, 17957.668475547347 6717781.286890814, 17883.049667324576 6717937.61439083, 17979.441654073325 6717967.687499725, 17978.034634883843 6718069.7398166815, 17852.579575250147 6718177.834168369, 17778.420594535524 6718326.036763371, 17673.673997523812 6718522.379966826, 17647.04314881247 6718766.496324631, 17509.430674081606 6718762.039983793, 17502.338705229024 6718862.084015581, 17443.674084731025 6718869.203530973, 17416.427243673086 6718934.8064266145, 17404.720175322847 6719347.52962605, 17903.08059522871 6719442.205672281, 17883.44029215624 6719514.290031664, 17877.453377753147 6719656.392478269, 17976.05799452578 6719592.952175391, 18220.940205555526 6719663.527910488, 18264.852360092707 6719618.422517448, 18323.769317765087 6719638.727808772, 18442.203098350594 6719672.270937833))",1.6021570015019269,Barking and Dagenham 010,E09000002,Barking and Dagenham,38.8,1.6021570015019269,24.0,5.368897167741309,0.6185567010309279,3.3510431017111855,1.0
