accident_index,accident_year,accident_severity,number_of_vehicles,number_of_casualties,junction_control,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,road_type,date,time,day_of_week,longitude,latitude,geometry,MSOA11CD,LAD11CD,LAD11NM
2023010419171,2023,3,1,1,4,9,5,4,8,2,0,2,01/01/2023,01:24,1,-0.202878,51.418974,POINT (-22584.275653157754 6695742.688462679),E02000697,E09000024,Merton
2023010419183,2023,3,3,2,4,3,1,4,1,1,0,6,01/01/2023,02:25,1,-0.042464,51.671155,POINT (-4727.070857045569 6740883.071954676),E02000278,E09000010,Enfield
2023010419189,2023,3,2,1,4,1,0,4,1,1,0,1,01/01/2023,03:50,1,-0.435789,51.487777,POINT (-48511.809573309896 6708033.631444561),E02000525,E09000017,Hillingdon
2023010419191,2023,3,2,1,4,3,0,4,9,1,0,6,01/01/2023,02:13,1,-0.263972,51.597575,POINT (-29385.22862368201 6727686.381454261),E02000093,E09000005,Brent
2023010419192,2023,3,2,1,4,8,0,4,1,1,0,6,01/01/2023,01:42,1,-0.168976,51.477324,POINT (-18810.322276284194 6706165.117389092),E02000923,E09000032,Wandsworth
2023010419198,2023,3,1,1,-1,0,5,4,1,1,0,6,01/01/2023,02:10,1,-0.201941,51.545349,POINT (-22479.969290284458 6718332.533212438),E02000178,E09000007,Camden
2023010419201,2023,3,2,1,2,6,0,4,1,2,0,6,01/01/2023,03:00,1,-0.097014,51.499145,POINT (-10799.549079818642 6710066.19159979),E02000808,E09000028,Southwark
2023010419205,2023,3,1,1,-1,0,0,1,1,1,0,3,01/01/2023,07:25,1,0.072337,51.526805,POINT (8052.5180055130295 6715013.82494072),E02000736,E09000025,Newham
2023010419209,2023,3,1,1,-1,0,4,4,1,1,0,6,01/01/2023,07:23,1,-0.072322,51.583379,POINT (-8050.848213151131 6725142.767423136),E02000420,E09000014,Haringey
2023010419223,2023,3,2,1,4,3,4,1,1,1,0,6,01/01/2023,11:35,1,-0.382585,51.479143,POINT (-42589.16738514457 6706490.239874789),E02000536,E09000018,Hounslow
2023010419228,2023,3,2,3,2,3,9,4,2,2,0,6,01/01/2023,04:48,1,-0.056268,51.539465,POINT (-6263.725107955917 6717279.362627306),E02000367,E09000012,Hackney
2023010419245,2023,3,2,1,2,3,4,4,1,1,0,6,01/01/2023,02:10,1,-0.075251,51.549921,POINT (-8376.90300168463 6719150.964412837),E02000365,E09000012,Hackney
2023010419259,2023,3,2,3,4,1,0,4,2,2,0,1,01/01/2023,17:15,1,-0.091059,51.550279,POINT (-10136.641512144699 6719215.0532678),E02000565,E09000019,Islington
2023010419261,2023,3,2,1,9,9,0,4,8,1,0,3,01/01/2023,03:10,1,0.066341,51.574905,POINT (7385.046338716561 6723624.789918391),E02006924,E09000026,Redbridge
2023010419263,2023,3,2,1,2,9,1,4,2,2,0,6,01/01/2023,18:14,1,-0.012912,51.575392,POINT (-1437.3572651227485 6723712.020280514),E02000914,E09000031,Waltham Forest
2023010419270,2023,3,2,1,2,6,5,4,2,2,0,3,01/01/2023,18:50,1,-0.112305,51.481946,POINT (-12501.73541353859 6706991.264891477),E02000622,E09000022,Lambeth
2023010419272,2023,3,2,1,2,6,5,4,2,2,0,6,01/01/2023,20:11,1,-0.003863,51.424377,POINT (-430.02719293441584 6696707.2085754825),E02006784,E09000023,Lewisham
2023010419274,2023,3,1,1,2,3,5,4,2,2,0,6,01/01/2023,19:50,1,-0.123808,51.579187,POINT (-13782.243516133616 6724391.804302616),E02000430,E09000014,Haringey
2023010419278,2023,3,1,1,2,6,5,4,2,2,0,3,01/01/2023,21:15,1,-0.095656,51.570757,POINT (-10648.377211321376 6722881.847218476),E02000346,E09000012,Hackney
2023010419280,2023,3,2,1,2,6,5,4,2,2,0,6,01/01/2023,23:10,1,-0.217174,51.460711,POINT (-24175.699093538395 6703196.360459365),E02000933,E09000032,Wandsworth
2023010419281,2023,2,1,2,-1,0,5,4,2,2,0,6,01/01/2023,19:37,1,-0.191108,51.548662,POINT (-21274.045246520927 6718925.583310975),E02000175,E09000007,Camden
2023010419282,2023,3,1,1,4,3,1,4,2,2,0,3,01/01/2023,18:58,1,-0.126067,51.542516,POINT (-14033.714245835621 6717825.440709291),E02000180,E09000007,Camden
2023010419297,2023,3,2,1,4,3,0,6,1,1,0,2,01/01/2023,23:39,1,0.032626,51.542508,POINT (3631.909706621344 6717824.00879493),E02000727,E09000025,Newham
2023010419301,2023,3,2,1,4,9,1,4,1,2,0,6,02/01/2023,06:03,2,-0.065642,51.555429,POINT (-7307.234014652065 6720137.057696762),E02000354,E09000012,Hackney
2023010419302,2023,3,1,1,2,6,4,4,8,2,0,2,02/01/2023,06:10,2,-0.122453,51.530804,POINT (-13631.405606108729 6715729.387607702),E02000574,E09000019,Islington
2023010419303,2023,3,3,2,2,3,5,4,2,2,0,6,02/01/2023,00:40,2,-0.053959,51.439042,POINT (-6006.688403714248 6699325.715686166),E02000673,E09000023,Lewisham
2023010419304,2023,3,2,1,4,9,0,4,1,1,0,6,02/01/2023,06:46,2,0.025908,51.545466,POINT (2884.065367472132 6718353.476292604),E02000721,E09000025,Newham
2023010419305,2023,3,2,1,4,9,1,4,1,1,0,6,02/01/2023,06:15,2,-0.381014,51.437693,POINT (-42414.28446510834 6699084.810065371),E02000551,E09000018,Hounslow
2023010419316,2023,3,2,1,2,1,0,1,1,1,0,1,01/01/2023,14:15,1,0.011947,51.595804,POINT (1329.9339565072394 6727369.013423599),E02000904,E09000031,Waltham Forest
2023010419323,2023,2,1,1,2,6,4,1,1,1,0,6,02/01/2023,12:35,2,-0.067242,51.457382,POINT (-7485.3451999213 6702601.595366747),E02000834,E09000028,Southwark
2023010419324,2023,3,2,1,4,3,0,1,1,1,0,6,02/01/2023,13:00,2,-0.167511,51.529655,POINT (-18647.23922227205 6715523.784397268),E02000962,E09000033,Westminster
2023010419329,2023,3,1,1,4,3,8,1,1,1,0,3,02/01/2023,14:20,2,-0.264522,51.565328,POINT (-29446.454343618312 6721909.568750397),E02000101,E09000005,Brent
2023010419333,2023,3,1,1,-1,0,4,1,1,1,0,6,02/01/2023,13:49,2,-0.167085,51.428923,POINT (-18599.81711919412 6697518.829109869),E02000957,E09000032,Wandsworth
2023010419335,2023,3,2,1,4,9,1,1,1,1,0,6,02/01/2023,14:30,2,-0.210802,51.518723,POINT (-23466.371298203652 6713567.860866427),E02000579,E09000020,Kensington and Chelsea
2023010419336,2023,3,1,1,-1,0,0,1,1,1,0,3,02/01/2023,15:20,2,0.129093,51.416641,POINT (14370.567024976066 6695326.246671458),E02000092,E09000004,Bexley
