Code,Area,median_income,unemployment_rate_avg,educational_attainment,Population
E09000001,City of London,62200,0,0.942,13462
E09000002,Barking and Dagenham,28000,6.1,0.262,222308
E09000003,Barnet,33500,5.25,0.509,395007
E09000004,Bexley,29300,3.7,0.344,250853
E09000005,Brent,30000,6.4,0.457,344521
E09000006,Bromley,35800,4.4,0.499,331162
E09000007,Camden,38900,5.3,0.656,220903
E09000008,Croydon,30400,5.25,0.408,397741
E09000009,Ealing,30900,5.05,0.609,375340
E09000010,Enfield,29900,5.2,0.424,327429
E09000011,Greenwich,31800,4.5,0.505,294113
E09000012,Hackney,34300,4.4,0.636,263282
E09000013,Hammersmith and Fulham,37000,4.8,0.713,186176
E09000014,Haringey,31300,5.15,0.496,262895
E09000015,Harrow,32300,4.55,0.498,263448
E09000016,Havering,29800,3.7,0.326,268145
E09000017,Hillingdon,30600,5.3,0.423,319018
E09000018,Hounslow,29300,4.65,0.506,295706
E09000019,Islington,38200,5.05,0.63,220584
E09000020,Kensington and Chelsea,43900,5.15,0.602,147460
E09000021,Kingston-upon-Thames,35900,3.7,0.618,170454
E09000022,Lambeth,34500,4.2,0.708,315706
E09000023,Lewisham,32000,5.1,0.621,298708
E09000024,Merton,33900,4,0.601,215219
E09000025,Newham,28300,5.45,0.491,362552
E09000026,Redbridge,31200,5.4,0.449,313392
E09000027,Richmond-upon-Thames,44000,4.05,0.649,195513
E09000028,Southwark,34400,4.45,0.526,315519
E09000029,Sutton,33300,4.5,0.467,211123
E09000030,Tower Hamlets,35500,5.7,0.507,328626
E09000031,Waltham Forest,30900,5.15,0.527,275980
E09000032,Wandsworth,40200,3.85,0.653,331456
E09000033,Westminster,41200,4.7,0.678,211508
